verb	label	sentence	start_char	end_char
discussed	DYNAMIC	We discussed the foundations: the Three Turnings of the Wheel of Dharma; the four noble truths; karma; defilements; the six perfections.	3	11
asked	DYNAMIC	"So, a fellow student asked, ""Giving one's life for another being is the ultimate gift?"""	21	26
shook	DYNAMIC	Khenpo Kalsang, he smiled, and shook his head.	31	35
said	DYNAMIC	Only if you feel no regret, he said.	31	35
feel	STATIVE	If you feel regret, it destroys the merit.	7	10
cause	DYNAMIC	Until then, preserve your own life, and do not give away anything that would cause you regret.	77	81
struck	DYNAMIC	This struck a chord.	5	10
been	STATIVE	Ever since the 1920s, their science has been about observation of behavior, questionnaires, recordings of electrical brain activity.	40	43
intend	STATIVE	I intend to discuss it in more depth later, so stay tuned.	2	7
gathered	DYNAMIC	In the afternoon, a group of us gathered outside for a meditation session with Ani Kunga.	32	39
were	STATIVE	Compassion and anger were the session's topics.	21	24
explained	DYNAMIC	Ani Kunga explained several off-session and one on-session technique for dealing with negative emotions (anger, hate, irritation, stress, jealousy, and so on).	10	18
making	STATIVE	Another of the day's activities was making prayer flags.	36	41
do	DYNAMIC	But if no one shares their prayers, it will certainly do no good.	54	55
done	STATIVE	This weekend reminded me that I'm not done learning.	38	41
used	DYNAMIC	"In the paper, ""self-control"" is used to mean a sense of willpower."	32	35
is	STATIVE	An important premise to note here is the idea that the probability of choosing a goal or making a resolution increases if a person thinks that goal can be attained.	34	35
discuss	STATIVE	Mukhopadhyay & Venkatarmani also discuss self-efficacy: belief in one's capabilities, the perceived ability to carry out a desired action.	33	39
read	DYNAMIC	In the first study, 85 participants (all college students) each read one of four passages presenting lay theories of self-control.	64	67
adding	DYNAMIC	The third study moved on to examine goal achievement, adding a measure to look at self-efficacy.	54	59
had	STATIVE	The study had two sessions, in November then February.	10	12
have	DYNAMIC	Self-efficacy did not have a significant effect on goal-setting.	22	25
was	STATIVE	As far as success goes, only the interaction between lay theory and self-efficacy was significant.	82	84
been	STATIVE	This proposal has been in the works for nearly two years, and at long last, folks are voting to approve it.	18	21
get	DYNAMIC	After all, I could get half a unit a semester for up to four semesters -- a typical class is worth one unit, and a typical physical education course of any level is worth half a unit, with a maximum of two physical education units counting toward graduation requirements.	19	21
agrees	STATIVE	My friend over at Carolyn Blogs agrees: from the above standpoint, sure, it seems fair to give credit to students .	32	38
get	DYNAMIC	If you get credit for introductory P.E.	7	9
get	DYNAMIC	classes, you should get credit for varsity athletics.	20	22
present	STATIVE	On top of everything, we must remember that varsity athletics present a considerable time commitment.	62	68
gone	STATIVE	Varsity athletes regularly travel throughout the northeastern to participate in meets, games and tournaments, often gone from campus for an entire weekend at a time.	116	119
do	DYNAMIC	If I cared more about other activities, I'd do those instead.	44	45
backed	STATIVE	And she's backed up by our school's system of awarding units instead of credit hours :	10	15
made	DYNAMIC	Sacrifices must be made, sure: Dance party on Friday night, or overnight travel to a competition?	19	23
continues	STATIVE	The article continues:	12	21
make	STATIVE	Adding the option of a varsity unit to the list doesn't make much of a difference.	56	59
add	DYNAMIC	Students who aren't varsity athletes could add an easy P.E.	43	45
continue	STATIVE	Students who can balance their work and their sport will continue to do so.	57	64
are	STATIVE	Academics are officially what college is about.	10	12
are	STATIVE	Academics are what get graded.	10	12
are	STATIVE	Students' GPAs will, in part, determine what they are able to do with their lives.	50	52
are	STATIVE	But academics are only one particular kind of knowledge.	14	16
think	STATIVE	And that, I think, is the best reason for awarding credit for varsity athletics.	12	17
lie	STATIVE	America's Rust Belt is a swath of cities and towns that boomed during the Industrial Era and now lie -- well, rusting -- as empty remainders of glory days past.	97	99
read	DYNAMIC	I'd read a New York Times article about some forward-thinking artist-types who bought a house in Detroit for $1,900 .	4	7
pay	DYNAMIC	Some of us (and lots of New Yorkers) pay that much in rent every month!	37	39
went	DYNAMIC	In fact, the article went on, soon a nearby house went on the market for $100.	21	24
were	STATIVE	The possibilities of this were fascinating.	26	29
had	STATIVE	I had visions of hipsters from coast to coast converging in Detroit, building a new city on rock&roll.	2	4
saw	DYNAMIC	I saw community gardens, art parks, a grassroots transformation of a city.	2	4
take	DYNAMIC	We could take that oil-stained soil and those rusted factories, and create something new and beautiful.	9	12
dove	DYNAMIC	We picked two neighborhoods to cruise, and dove in.	43	46
hit	DYNAMIC	But once we entered Detroit, the truth hit fast: this is a modern American ghost town.	39	41
felt	STATIVE	In fact, I've never felt so out of place in all my life .	20	23
live	STATIVE	They live in deserted neighborhoods, in houses with collapsed front steps and missing windows.	5	8
stuck	DYNAMIC	And we, driving through slowly and reading house numbers in a late-model Honda, stuck out like a couple of thumbs.	80	84
went	DYNAMIC	So we sped up, and went straight to the houses.	19	22
stripped	DYNAMIC	"The New York Times correspondent wrote that his friend Mitch's $1,900 home ""had already been stripped of its appliances and wiring ..."	93	100
needed	STATIVE	"It ""needed some work, a hole patched, some windows replaced."""	3	9
saw	DYNAMIC	On one corner, we saw a giant banner hung across a charred front porch.	18	20
come	DYNAMIC	Ultimately, I do believe that change will come to Detroit.	42	45
be	STATIVE	There will be a green movement here ; in fact it's already being cultivated by forward-thinking groups and intrepid locals .	11	12
be	DYNAMIC	One day, this place will be reborn.	25	26
take	STATIVE	Anyone who takes this plunge is risking their life every day, betting on a future that may take a long time to arrive.	91	94
come	DYNAMIC	May your every dream come true, sir, and your book sell fabulously.	21	24
need	STATIVE	I need that	2	5
called	STATIVE	"Please track down and watch a movie called ""Detroit: A City to Yourself"", by Nicole MacDonald."	36	41
focused	DYNAMIC	Most poignantly, it talks about Hurricane Katrina, which focused attention on rebuilding another city with this level of devastation, and how without a single catastrophic event to blame for it, Detroit's decay has gone unsympathetically ignored.	57	63
are	STATIVE	There are industrial spaces being turned into low-rent artist lofts and business incubators.	6	8
refuse	STATIVE	There are neighborhoods that refuse to cave.	29	34
taken	DYNAMIC	There's a whole street being taken over by artists, Farnsworth between Moran and McDougall.	29	33
have	STATIVE	Think about that for a moment, hoes and shovels don't have enough pawn value to be worth carrying out.	54	57
using	DYNAMIC	Whoever took that stuff is probably using it in their own garden.	36	40
refuse	STATIVE	But there are bright spots, and behind every one of them is a person, or a bunch of people, who refuse to give up.	96	101
committed	STATIVE	Seems there's a pretty solid group of Detroit residents who are truly committed to restoring the city, and that's beautiful to see.	70	78
need	STATIVE	Love the fact that people are stealing garden implements (though it's still sad that they need to).	90	93
going	DYNAMIC	Driving a Honda in Detroit right now probably isn't really going to get you welcomed with open arms.	59	63
were	STATIVE	Most of the funny looks you got were less about your color than about your ride.	32	35
be	STATIVE	You think I'm kidding, but I couldn't be more serious -- that Honda is a visceral reminder for people of how the American consumer has left Detroit in the dust.	38	39
going	STATIVE	Its going to take some pioneering individuals to start creating those pockets of innovation, creativity, and vision.	4	8
going	DYNAMIC	But its not going to happen with the investment of $100 into a single house.	12	16
have	STATIVE	For all that is wrong with Detroit -- and that's nearly everything -- you'd be astonished by the pride that Detroiters have for their city.	119	122
abandoned	STATIVE	They lack the means to build her back to her former glory, but she won't be abandoned.	76	85
called	STATIVE	No, even before that -- The Dollmaker has often been called 'America's least pretentious masterpiece'.	53	58
doing	DYNAMIC	I love what you are doing.	20	25
left	STATIVE	Is this the monument left behind for the world to witness, by Corporatism, Capitalism?	21	24
filled	STATIVE	Do we still have fertile backyard gardens, filled with the composting of the age?	43	48
kidding	STATIVE	You gotta be kidding me!	13	19
have	STATIVE	They have the unmidas touch.	5	8
has	STATIVE	Every decaying city in America has D's firmly in control, and has forever.	31	33
kidding	DYNAMIC	Nope, I wasn't kidding.	15	22
approve	STATIVE	Lumpy, I'm not a Democrat and I don't much approve of the Democratic Party.	43	49
say	DYNAMIC	"That's where the green movement comes in, and when I say ""green"" I'm talking plants not politics."	53	55
disappointed	DYNAMIC	I agree -- Democrats, like country music, have disappointed me too many times in the past for me to keep on listening.	47	58
want	STATIVE	You want to yell at which insurance company fucked up, or change a bedpan, so to speak?	4	7
left	DYNAMIC	Just ask the Palestinians who left after the first war to cry over the past.	30	33
made	DYNAMIC	*Or even Friend Salmon, who still haunts my dreams and tells me not to let us blow each other's asses off the earth until we clean up the mess we have made.	151	155
was	STATIVE	*That was for Lumpy.	6	8
has	STATIVE	You told me about this, but it has to be seen to be believed (not that I didn't believe you!).	31	33
find	STATIVE	I find this topic fascinating.	2	5
born	STATIVE	I was born in a suburb of Detroit and most of family still lives there.	6	9
going	DYNAMIC	I will be going back to visit in June.	10	14
plan	STATIVE	I plan to take a (Daytime) tour of these decaying areas especially the old factories.	2	5
have	STATIVE	I have the urban explorer fascination.	2	5
shocked	STATIVE	I, too checked out a few listings for under $1,000 and was absolutely shocked at the property taxes.	70	76
comes	DYNAMIC	A $1,000 house, which could be fixed up into maybe a $30-40,000 house comes with a tax bill of $4-6K per year!	70	74
included	DYNAMIC	/ // License is granted if and only if this entire // copyright notice is included.	74	82
been	STATIVE	"There may very well have been a gasp, and some uncomfortable ""Okay, that's enough now"" chuckles at the end, but the guffaws at the top of the clip are WITH her, not AT her."	25	28
has	STATIVE	I don't think the audience is laughing at Coons; the laughter has an incredulous, oh-my-god sound to it.	62	64
looks	DYNAMIC	When she hears the reaction, she looks out at the audience with a big, proud grin.	33	37
shows	DYNAMIC	So although this shows what an extremist nut O'Donnell is, it's not really a gaffe; it's standard stuff right out of their playbook.	17	21
looking	DYNAMIC	"Well, if one is looking for the phrase, ""Separation of Church and State,"" yeah, that's not in there, so TADA!"	16	22
wins	DYNAMIC	Looks at me, I wins a big arguments and I poops my pants.	15	18
make	DYNAMIC	I love when ignorant fucks like O'Donnell and her little orcling hordes make huge category mistakes like this.	72	75
were	STATIVE	if that were the case.	8	11
have	STATIVE	Yeah, Pea, you have a point there, but still: The laughter doesn't sound incredulous to me, it sounds appreciative and snarky.	15	18
see	DYNAMIC	I don't see a crowd like that laughing out loud at such a pitiful little meme, it's not even worth a laugh-out-loud guffaw.	8	10
had	STATIVE	I know if I had the opportunity to attend a Sarah Palin rally, I'd be overjoyed to hear some incredible stupid falling out of her mouth.	12	14
be	STATIVE	which would be, uh, ANY Sarah Palin rally.	12	14
was	STATIVE	the debate was at a LAW SCHOOL.	11	13
respond	DYNAMIC	"O'Donnell didn't respond to reporters who asked her to clarify her views after the debate."""	17	23
says	DYNAMIC	"Anyone who says ""Evolution is only a THEORY...it's not a fact"" is so stupid; so utterly fucking brainless, uneducated, ignorant, clueless and unread they should immediately be sterilized on the slim chance that there's a genetic component to their imbecility."	11	14
expected	STATIVE	Anyone who stubbornly knows so little about science cannot possibly be expected to develop the analytical skills necessary to interpret Con Law.	71	78
illustrates	STATIVE	I thinks this illustrates their biblical view of the Constitution, and by that I mean they regard it the same way as they regard the Holy Bible.	14	24
know	DYNAMIC	Oh, and like the Holy Bible, that we mere mortals are not supposed to question or interpret, they'll let us know what it really means and that will often conflict with what it actually says.	108	111
makes	STATIVE	They try to exert some sort of control over it's meaning by elevating it to a level that makes it untouchable.	89	93
designed	STATIVE	To them it's not a living document that was designed to change with the nation, but essentially carved in stone like the Ten Commandments.	44	51
come	DYNAMIC	"I've recently come to the conclusion that the answer is ""nowhere""."	14	17
see	STATIVE	they see no problem with racism, sexism and fascism.	5	7
understand	STATIVE	"they don't understand that ""freedom of speech"" doesn't mean freedom from consequences."	11	20
confuse	STATIVE	they confuse losing an election with tyranny.	5	11
was	STATIVE	The debate was at Widener Law School.	11	13
were	DYNAMIC	I don't think they were laughing at him.	19	22
were	DYNAMIC	If they were, they'd be reacting after his comment (and probably booing and calling him a liar) rather than reacting after her comment.	8	12
hope	STATIVE	I hope you're well.	2	5
be	STATIVE	While it can be personally satisfying to present all your little ducks in a row, they will never stop erroneously knocking the damn ducks out of line.	13	14
were	STATIVE	Nah, I'm convinced that the audible gasps and stifled chuckles were from her attempt to bluff her way through an exchange regarding the Constitution in a room full of lawyers.	63	66
do	STATIVE	Palin knows her place, as do they all.	26	27
running	DYNAMIC	O'Donnell's running on personality alone, nothing more, nothing less.	12	18
was	STATIVE	However, she clearly thinks she that she has scored a huge win and that the audience was on her side.	85	87
was	STATIVE	"Her question was the equivalent of asking ""Where're the pictures?"""	13	15
staring	DYNAMIC	when staring at the document, especially in that setting.	5	11
did	DYNAMIC	She did it on purpose, not to further the discussion, but to establish that, yes, she is a dependable dumbass.	4	6
have	STATIVE	Lexaburn, I have to disagree with your assessment that this is all a game and that she's not that dumb.	12	15
intend	STATIVE	Being a perpetual campaigner can only get you so far, and if they don't intend to win after getting the nomination, then that con game is limited.	72	77
saying	DYNAMIC	I'm not saying she knows a damned thing about the Constitution.	8	13
limited	STATIVE	"The ""shelf life"" of both women is only limited to the fraction with which they uphold a standard."	39	45
took	DYNAMIC	Palin took standards out of the equation when she quit her job.	6	9
run	STATIVE	Were she to actually run, it would be for vanity's sake.	21	24
did	DYNAMIC	Well, Palin did anyway.	12	14
attribute	STATIVE	I attribute part of my assessment of O'Donnell to info I've gleaned from a good friend of mine that knew her on the media circuit at the start of the decade.	2	10
saying	DYNAMIC	This friend tells me that Christine doesn't believe half provocative and/or boneheaded things she's saying.	100	106
described	STATIVE	O'Donnell is described as a normal conservative Republican woman by my friend.	13	21
leads	DYNAMIC	Some of the innuendo surrounding her leads me to this conclusion, as well.	37	41
being	STATIVE	You know what, I'm being too much of a stuffy doctor.	19	23
making	DYNAMIC	Anyway, that smile she gives after asking about the 1st Amendment may very well be her being in on the joke she's making of herself.	114	119
thinking	STATIVE	Do not try to make sense out of anything of this if you're not thinking like a...celebrity of whatever quality, let's say.	63	70
continues	STATIVE	Next, ask yourself why she continues to be invited to these public forums.	27	35
seen	DYNAMIC	In all my cable news watching, I've seen far more dim characters than O'Donnell with regular gigs, so it's not the fact that she's dumb that gets her on television.	36	39
campaigning	DYNAMIC	She's not campaigning to win anything, I'm telling you, BC.	10	20
was	STATIVE	"I don't believe that was because she beat the ""establishment"" candidate."	21	23
thinking	STATIVE	I'm thinking she's aiming to be on FNC on a regular basis.	4	11
comes	DYNAMIC	This all comes from my observing her debate performances, as well as her more recent TV appearances.	9	13
runs	DYNAMIC	Just look at the clips Bill Maher runs of her blithering, insistent certainty.	34	37
get	STATIVE	She pisses off EVERYONE, all the time, and never once = not a single time ever - stops long enough to even CONSIDER that maybe she's the one who doesn't get it.	153	155
get	STATIVE	It's THEY who don't get it.	20	22
does	STATIVE	She does because she took a week long course at Oxford University!	4	7
lies	DYNAMIC	That she lies about her academic credentials, inflates beyond all reason and truth the actual degree of study she has accomplished, does not in any way diminish her insistence that she IS highly educated - really VERY knowledgeable about all of these things she doesn't know about.	9	12
disagree	DYNAMIC	And if you disagree with her, then you are properly an object of scorn and derision for being so poorly informed about things.	11	18
campaigning	STATIVE	It may not be campaigning to WIN.	14	24
corrupted	DYNAMIC	But in her mind that's because the voters have been brainwashed by the same evil, wrong-headed liberal / progressive indoctrination that has corrupted our schools, our leaders and our society.	141	149
have	STATIVE	Christine O'Donnell doesn't have a hidden agenda.	28	31
sees	STATIVE	She sees herself as morally correct, profoundly right (in both senses of the term), and struggling as only a jebus loving martyr can against the tide of evil sweeping her nation.	4	7
see	STATIVE	She KNOWS things, see?	18	21
going	DYNAMIC	Knowing she's going to lose is not the same thing as running TO lose... in the same way that knowing she really doesn't know much about the constitution will never prevent her from telling you what it must mean.	14	18
deals	DYNAMIC	My wife deals with them all the time at her place of employment.	8	12
forces	STATIVE	"Pushed as an effort to promote ""Sonoma County"" wines and a consumer education effort, the new law instead forces vintners to needlessly sully their package and undermines their own marketing efforts."	106	111
does	DYNAMIC	Yet, the law does nothing to educate consumers.	13	16
noted	DYNAMIC	"Honore Comfort, Executive Director of the Sonoma County Vintners Association and an outstanding representative for Sonoma County wines noted this: ""."	135	139
marks	DYNAMIC	This moment ...marks the beginning of a stronger Sonoma County brand for generations to come.	12	19
has	STATIVE	"Why is it important for someone making ""Sonoma Coast Pinot Noir"" or ""Sonoma Valley Zinfandel"" to help promote ""Sonoma County"", a designation that has no ability to define the quality or character of the wines in my Sonoma Coast Pinot Noir or my Sonoma Valley Zinfandel?"	146	148
wanted	STATIVE	They legally could...if they wanted to.	29	34
said	DYNAMIC	Perdiew said...	8	14
found	DYNAMIC	You found a way to tie this in nicely.	4	8
giving	DYNAMIC	"It also is a 'social promotion' in the sense that great Sonoma wines that now are forced to use ""Sonoma County"" will be giving some of their credibility to their lesser neighbors."	120	125
said	DYNAMIC	McCann said...	7	13
said	DYNAMIC	Kelly said...	6	12
forced	STATIVE	...I'd be pissed that I'm forced now to put a place-name on my label that told my buyers nothing of real value about the wine behind my label and, in some cases, demonstrably lowered its perceived quality.	26	31
discussed	DYNAMIC	And so is every other producer I have discussed this issue with.	38	46
served	STATIVE	I still don't know whose interests are being served by this useless piece of crap legislation.	45	50
made	DYNAMIC	"I completely agree with you when you state: ""Such an association will not be made with 'Sonoma County' wines...ever."""	77	80
got	STATIVE	I've got real skin in this game.	5	7
going	STATIVE	"We are going to have to totally redesign our front label to make room for ""Sonoma County"" - and so far every mock-up is cluttered and decreases the impact of our brand."	7	11
estimate	STATIVE	I estimate the value to be in six figures, and we are a small winery.	2	9
taking	STATIVE	"Eminent domain is exactly right - this is nothing less than governmental ""taking."""	73	81
said	DYNAMIC	Wallace said...	8	14
put	DYNAMIC	I put in 1+ decades in trade coursework, and several branches of the industry.	2	4
support	STATIVE	I support the new labeling requirement.	2	8
was	STATIVE	Sonoma county always was the sheep ranch joke in the era of Napa's well-deserved, early, global fame.	21	23
led	DYNAMIC	Together we have led the world into modern viticulture, with the help of UC Davis, and in some pretty good company from other regions.	17	19
admit	DYNAMIC	I admit I have voted for the bill's authoress.	2	6
follow	STATIVE	The town of Sonoma is on a typical route people follow driving from Solano County to Sonoma County.	48	53
said	DYNAMIC	Nick Perdiew said in to JohnLopresti... John, Good of you to comment and good to have dissent.	13	16
said	DYNAMIC	Cadman said...	7	13
see	DYNAMIC	I can see Tom W's concerns, too.	6	8
counted	DYNAMIC	One rambling article's author counted 16 occurrences of the word Napa on the newly designed label of a famous budget wine producer's 2005 Napa cabernet sauvignon.	30	36
said	DYNAMIC	koeppel said...	8	14
makes	STATIVE	There are many reasons why the new labeling requirement makes sense from all these perspectives.	56	60
is	DYNAMIC	sorry, I keep forgetting the Fermentation site's html protocol; here is the OIVV label guideline link again:	69	70
carries	STATIVE	"They [Honore Comfort and the Sonoma County Vintners] point to the prestige that the Napa Valley"" designation carries."	109	116
wins	DYNAMIC	Sonoma County, with roughly half of the wineries of Napa County, wins roughly twice as many gold medals in national and international wine competitions.	65	68
cost	STATIVE	That, the fact that their wines cost less on average, and the wineries are friendlier, less snooty is a compelling story to get out to the public.	32	35
seeking	DYNAMIC	"Heck, if folks knew all that, maybe folks would be seeking out bottles with ""Sonoma County"" on the label."	51	57
am	STATIVE	I disagree, but I am eternally hopeful, optimistic that the Sonoma County Vintners will inject a little passion and not more of the same old staid and boring in their marketing communications.	18	19
have	STATIVE	I have confidence they will change, retool, improve, live up to their responsibilities.	2	5
worked	DYNAMIC	I worked selling and marketing Sonoma County wines, I won awards for my marketing efforts.	2	7
appears	STATIVE	The recently launched www.hr5034.org website is the creation of the National Beer Wholesalers Association and and appears to be the repository all the misrepresentation, ignorance and misleading ideas supporters of H.R.	114	120
use	DYNAMIC	Is there really any competition when the state-based regulatory system the wholesalers love so much require that producers of alcohol use a wholesaler to bring their goods to market, meaning that without use of a wholesaler a producer cannot enter a state's market?	134	136
faced	DYNAMIC	"Over the past 10 years,more than 25 states have faced challenges in federal courts to their authority to regulate alcohol and their ability to maintain a licensed system of alcohol controls."""	48	52
retained	DYNAMIC	Even in the wake of successful suits that challenged the protectionist laws that wholesalers originally pushed, the state retained extraordinarily broad authority to maintain a robust system of alcohol controls.	122	129
brought	STATIVE	") ""Litigation against the states brought by those wishing to deregulate alcohol for their own economic interests is of great concern to state alcohol regulators, state attorneys general, public health advocates and many others."	33	39
address	STATIVE	") ""FACT: This bill does not address direct shipping or any specific state alcohol law."	28	34
allows	STATIVE	It does not preempt a state law that allows direct shipping.	37	42
mandate	STATIVE	It does not mandate a direct shipping law where there currently is not one.	12	18
were	DYNAMIC	The bill does PROTECT a state’s wine shipping law if someone were to challenge it in court by providing the shipping law with the same presumption of validity granted other state alcohol laws.	61	64
gives	DYNAMIC	5034 gives states the ability to pass laws unchallengeable in court that would discriminate against out-of-state wine shippers.	5	9
allow	STATIVE	5034 would allow states to pass laws that make consumers receipt of a wine by in-state shippers legal while making receipt of a wine by out-of-state shippers punishable to a greater degree than rape, home invasion or selling cocaine to children.	11	15
provides	STATIVE	"This bill does not amend or alter the Federal Alcohol Administration Act (FAA Act) which provides federal guidelines in many of these areas No it doesn't ""amend"" the faa act."	89	96
fell	DYNAMIC	"It's like saying ""i didn't kick the dog, but rather his ribs fell on to my boot""."	61	64
goes	STATIVE	But this goes beyond even my expectation.	9	12
did	DYNAMIC	5034 is precisely to overturn the granholm v. Heald supreme court decision that did away with protectionist state alcohol laws.	80	82
gives	STATIVE	5034 gives states the explicit right to discriminate against out-of-state wine shippers.	5	9
offer	STATIVE	All the state needs to do is offer the feeblest of justifications.	29	33
states	STATIVE	"one of those ""justifications"", the bill states, is maintenance of the ""structure of the state alcoholic beverage distribution system."""	40	46
covered	STATIVE	"Furthermore, note that wine retailers are not even covered by this duplicitous language on ""justification""."	51	57
needs	STATIVE	The state needs no justification to discriminate against out-of-state retailers.	10	14
buy	STATIVE	"The lawsuits have attacked items such as commonsense safeguards that require a face-to-face transaction (needed for ID checks) to buy alcohol"" In fact, face-to-face transactions are not needed for I.D checks."	130	132
needed	STATIVE	"checks) to buy alcohol"" In fact, face-to-face transactions are not needed for I.D checks."	67	72
set	DYNAMIC	Judges never have set policy.	18	20
have	DYNAMIC	State legislatures always have.	26	30
tell	DYNAMIC	This is the big lie the wholesalers tell.	36	40
required	STATIVE	Surely the wholesalers don't mean to say that state alcohol laws should in no way be required to abide by the principles in the u.S. Constitution.	85	92
